order_id,customer_id,product_id,category,is_alexa_ordered,order_time_stamp,order_date,order_hour_of_day,cancel_hour_of_day,return_date,cancel_time_stamp
18,10013939,z6PRHHbTS6tKpLGH,Sports and Outdoors,0.0,2016-01-09 09:20:19,2016-01-09,9,,,
19,10013939,Xe6HD9br8Slz2xXh,Grocery and Gourmet Food,0.0,2016-01-10 11:18:05,2016-01-10,11,,,
20,10013939,PS0NbpIxov0j5h2f,"Clothing, Shoes and Jewelry",0.0,2016-01-13 09:46:50,2016-01-13,9,,,
21,10013939,kFJ1WUJYiRtIHeDN,"Clothing, Shoes and Jewelry",0.0,2016-01-04 23:34:36,2016-01-04,23,,,
22,10013939,5eYAWQPD35DHF88O,Home and Kitchen,1.0,2016-01-06 15:33:14,2016-01-06,15,,,
23,10013939,E4FrS00l2H4XUPwf,Home and Kitchen,0.0,2016-01-11 15:55:17,2016-01-11,15,,,
24,10033300,Tf9XTVZLWIifzvjH,Grocery and Gourmet Food,0.0,2016-01-06 18:50:51,2016-01-06,18,,,
25,10033300,6djvqPqT5zO1ANeW,Books,0.0,2016-01-04 01:51:50,2016-01-04,1,,,
26,10033300,C0KF8MC7g2PzNunX,Home and Kitchen,1.0,2016-01-03 12:44:11,2016-01-03,12,,,
27,10033300,Z6fdYpu4k1xwYUkb,Books,0.0,2016-01-05 17:32:56,2016-01-05,17,,,
28,10033300,UmrZtl2q1KBhFKe8,"Clothing, Shoes and Jewelry",0.0,2016-01-01 22:03:25,2016-01-01,22,,,
29,10049756,hj0zWlqWmY4UjZuR,Electronics,0.0,2016-01-02 01:55:57,2016-01-02,1,,,
30,10049756,BPDHPskQCdjbDhDa,Grocery and Gourmet Food,0.0,2016-01-03 13:45:58,2016-01-03,13,,,
31,10049756,Mo2eSm5ftSibSpgY,Grocery and Gourmet Food,0.0,2016-01-12 14:05:09,2016-01-12,14,,,
32,10049756,3vHxEKsEe9k5o449,Home and Kitchen,0.0,2016-01-14 09:09:45,2016-01-14,9,,,
33,10049756,vn9VkiTq64tBwx7F,Grocery and Gourmet Food,0.0,2016-01-03 08:16:53,2016-01-03,8,,,
34,10049756,RN8GR0gVg917j0KT,Home and Kitchen,0.0,2016-01-06 01:39:32,2016-01-06,1,,,
35,10049756,TYJ4GXefwl0dx3V4,Grocery and Gourmet Food,0.0,2016-01-10 06:40:56,2016-01-10,6,,,
36,10049756,mj0NqJJM88f3TX7q,Grocery and Gourmet Food,0.0,2016-01-14 08:40:59,2016-01-14,8,,,
37,10049756,WCIDpswlY1LplmKl,Sports and Outdoors,0.0,2016-01-15 01:28:45,2016-01-15,1,,,
38,10049756,A6uJ9iO1DA24Gnrh,"Patio, Lawn and Garden",0.0,2016-01-05 18:26:54,2016-01-05,18,,,
39,10049756,wHcc25mUwB8o2ASm,Grocery and Gourmet Food,0.0,2016-01-06 00:20:16,2016-01-06,0,,,
40,10049756,AWTNOSJHjyImboHP,Sports and Outdoors,0.0,2016-01-11 16:12:09,2016-01-11,16,,,
41,10049756,N2MsiubXlIIvgSdb,Home and Kitchen,1.0,2016-01-03 09:38:24,2016-01-03,9,,,
42,10049756,PMIea6ANrbQzj2Cn,Grocery and Gourmet Food,0.0,2016-01-12 18:41:46,2016-01-12,18,,,
43,10049756,0wzTKzU5zePfyMmQ,Electronics,0.0,2016-01-04 04:45:48,2016-01-04,4,,,
44,10049756,rEs0BlSXHbAvLchZ,Electronics,0.0,2016-01-01 15:03:00,2016-01-01,15,,,
45,10049756,aOr998HaPJnG8axr,"Clothing, Shoes and Jewelry",0.0,2016-01-13 06:07:03,2016-01-13,6,,,
46,10049756,KrDQGgv6JC8Bnkbo,"Clothing, Shoes and Jewelry",0.0,2016-01-10 10:03:27,2016-01-10,10,,,
47,10156202,HLZnHcD9zC8l5VGL,Home and Kitchen,1.0,2016-01-11 08:41:51,2016-01-11,8,,,
48,10156202,1BT5dNAiupgrngIZ,Grocery and Gourmet Food,0.0,2016-01-05 01:18:51,2016-01-05,1,,,
49,10156202,YbfRjNnMJ3Ou40H8,Home and Kitchen,1.0,2016-01-10 09:26:16,2016-01-10,9,,,
50,10156202,rGPShJdREkLwkmgp,Grocery and Gourmet Food,0.0,2016-01-04 22:32:38,2016-01-04,22,22.0,,2016-01-11 22:32:38
51,10156202,rgdb43oIrxZHTkkz,Home and Kitchen,0.0,2016-01-07 07:21:51,2016-01-07,7,,,
52,10208145,YecO4SGbxRU9Bwp5,Grocery and Gourmet Food,0.0,2016-01-11 00:27:15,2016-01-11,0,,,
53,10208145,cCBpsRTD8ejjCQvV,Toys and Games,0.0,2016-01-09 11:39:21,2016-01-09,11,,,
54,10208145,AyWv7P7aVNspdkWX,Toys and Games,1.0,2016-01-06 18:28:27,2016-01-06,18,20.0,,2016-01-11 20:54:10
55,10208145,cdNlviKb0k30JVa3,Toys and Games,0.0,2016-01-14 10:39:14,2016-01-14,10,,,
56,10208145,4GnE7ojYFqD8AfSC,Grocery and Gourmet Food,0.0,2016-01-14 12:14:24,2016-01-14,12,,,
57,10208145,745nLNluDgkE9uFb,Baby,0.0,2016-01-03 23:34:04,2016-01-03,23,,2016-01-08,
58,10208145,CG83Sfquc0OAvXTC,"Clothing, Shoes and Jewelry",0.0,2016-01-09 01:17:56,2016-01-09,1,,,
59,10208145,wq5Xf8cr7m0OABZg,Home and Kitchen,0.0,2016-01-12 06:00:53,2016-01-12,6,,,
60,10208145,qj3XQmCOahdEjnL1,Grocery and Gourmet Food,1.0,2016-01-06 13:55:23,2016-01-06,13,,,
61,10208145,uFPIr7levaV33cu5,Home and Kitchen,0.0,2016-01-12 13:54:15,2016-01-12,13,,,
62,10208145,6S52Qq7ZKcfeRnFR,Baby,0.0,2016-01-05 06:01:27,2016-01-05,6,,,
63,10208145,FBaD4nWEo62vKtXI,Grocery and Gourmet Food,0.0,2016-01-07 18:44:25,2016-01-07,18,18.0,,2016-01-11 18:44:25
64,10208145,fhD7LR6Z7gNgulfX,Grocery and Gourmet Food,1.0,2016-01-02 20:42:06,2016-01-02,20,,,
65,10208145,QsOT7e6UeYrBij5o,Baby,1.0,2016-01-05 12:46:28,2016-01-05,12,,,
66,10213321,fpsvq0LBw0Xbkbha,"Clothing, Shoes and Jewelry",0.0,2016-01-06 07:54:57,2016-01-06,7,,,
67,10213321,YoCK0LiooTPH82z3,Home and Kitchen,1.0,2016-01-13 11:31:47,2016-01-13,11,,,
68,10213321,uiZz1JicuhN0hIge,Tools and Home Improvement,0.0,2016-01-14 15:36:39,2016-01-14,15,,,
69,10213321,ijnNWsVYM9vUIV2Q,Electronics,0.0,2016-01-06 08:24:09,2016-01-06,8,,,
70,10213321,b1slaFIUihuWTNTV,Books,0.0,2016-01-02 14:15:30,2016-01-02,14,,,
71,10213321,ovJHxfGyIYiBnOYO,Tools and Home Improvement,0.0,2016-01-11 06:11:07,2016-01-11,6,,,
72,10213321,LgPiDUGi9cDAbwaD,"Clothing, Shoes and Jewelry",0.0,2016-01-09 22:18:37,2016-01-09,22,,,
73,10213321,yUUlVX0qZu6NDkRo,Electronics,0.0,2016-01-13 03:48:54,2016-01-13,3,,2016-01-20,
74,10213321,pjVICVUBJH3xwuk2,Electronics,0.0,2016-01-13 20:48:10,2016-01-13,20,,,
75,10213321,UfvNy4QZs0CaQBIA,Books,0.0,2016-01-11 15:28:53,2016-01-11,15,,,
76,10259109,wVtx4Azngvss0eVz,Grocery and Gourmet Food,0.0,2016-01-06 22:25:59,2016-01-06,22,,,
77,10259109,diHu0RzAB0XpBJci,Grocery and Gourmet Food,0.0,2016-01-06 06:47:06,2016-01-06,6,,,
78,10259109,weSzX6RKGVYMOjtn,Grocery and Gourmet Food,0.0,2016-01-03 12:17:38,2016-01-03,12,,,
79,10259109,6J4TZF80tygbRryU,Grocery and Gourmet Food,0.0,2016-01-01 22:36:05,2016-01-01,22,,,
80,10259109,s5YVd36Tcnng8LCt,Home and Kitchen,0.0,2016-01-05 08:10:16,2016-01-05,8,,,
81,10259109,2xGCWKFdIluR5cge,Home and Kitchen,1.0,2016-01-13 13:51:06,2016-01-13,13,,,
82,10259109,i329RPKCKS7XZTQX,Grocery and Gourmet Food,0.0,2016-01-06 19:07:49,2016-01-06,19,,2016-01-16,
83,10259109,h4shHGj15DoZc96e,Home and Kitchen,0.0,2016-01-13 14:57:10,2016-01-13,14,,,
84,10259109,hXKCca1kOZ5zXbGj,Grocery and Gourmet Food,0.0,2016-01-08 02:11:29,2016-01-08,2,,,
85,10259109,rgr8xxHVvuPeHrwC,Grocery and Gourmet Food,1.0,2016-01-11 02:47:31,2016-01-11,2,,,
86,10259109,WNlaUV9a7I6R9yGx,"Clothing, Shoes and Jewelry",0.0,2016-01-04 13:28:07,2016-01-04,13,,,
87,10265579,nj4cdNM8ROBi2v1a,Home and Kitchen,0.0,2016-01-13 20:09:05,2016-01-13,20,,,
88,10265579,bewZT4cHJG0OyzcJ,Home and Kitchen,0.0,2016-01-03 06:13:04,2016-01-03,6,,,
89,10265579,8fMJbUWMaRCMy9a4,"Clothing, Shoes and Jewelry",0.0,2016-01-03 22:35:22,2016-01-03,22,,2016-01-09,
90,10265579,Fjf8RAo4SnTwvboY,Grocery and Gourmet Food,0.0,2016-01-09 23:35:01,2016-01-09,23,,,
91,10265579,O5LFbSwkB8zFfELQ,Books,0.0,2016-01-05 15:46:23,2016-01-05,15,,,
92,10265579,Fjf8RAo4SnTwvboY,Grocery and Gourmet Food,0.0,2016-01-06 09:20:54,2016-01-06,9,,,
93,10265579,b4hrNqYmt48sRIfL,Electronics,0.0,2016-01-11 22:32:20,2016-01-11,22,,,
94,10265579,xKfhFesrY97VZrQr,Books,0.0,2016-01-09 01:57:36,2016-01-09,1,,,
95,10265579,06wTE0TzQhZV4tmo,Grocery and Gourmet Food,1.0,2016-01-11 11:58:25,2016-01-11,11,,,
96,10265579,9xWLR9380HA5yLVP,Home and Kitchen,0.0,2016-01-07 19:40:59,2016-01-07,19,,,
97,10265579,OnAZGW6V8Zch3XCE,Home and Kitchen,1.0,2016-01-14 04:12:13,2016-01-14,4,,,
98,10265579,6U1Q9Bb2dJKJZxyZ,Grocery and Gourmet Food,0.0,2016-01-07 12:24:29,2016-01-07,12,12.0,,2016-01-14 12:24:29
99,10265579,iSd5i5Y3p1XQU3VM,Electronics,0.0,2016-01-10 17:10:38,2016-01-10,17,,,
100,10265579,GqGW6mGtZNZMljfp,Grocery and Gourmet Food,1.0,2016-01-11 11:05:07,2016-01-11,11,,,
101,10265579,k8DAlkyq1AWwXmiN,"Clothing, Shoes and Jewelry",0.0,2016-01-02 09:23:57,2016-01-02,9,,,
102,10265579,xA3qwizdxR7M3CX7,"Clothing, Shoes and Jewelry",0.0,2016-01-02 12:45:41,2016-01-02,12,,,
103,10265579,zDoO1TgpstxdvFYI,Books,0.0,2016-01-06 05:36:16,2016-01-06,5,,,
104,10265579,IZup3VJ3VKsK6B0Z,Home and Kitchen,0.0,2016-01-10 14:19:28,2016-01-10,14,,,
105,10273094,p9cO9ySW7ikDCWw0,Tools and Home Improvement,0.0,2016-01-11 09:46:22,2016-01-11,9,,,
106,10273094,DDx88GB3eBgmggEg,Grocery and Gourmet Food,0.0,2016-01-09 09:01:11,2016-01-09,9,9.0,,2016-01-14 09:01:11
107,10273094,pqSSaoFB3X6vMpk4,Grocery and Gourmet Food,0.0,2016-01-11 12:13:19,2016-01-11,12,,,
108,10273094,P8TgG73bOw263FkA,Home and Kitchen,0.0,2016-01-08 06:29:59,2016-01-08,6,,,
109,10273094,YI8gXXh2OpEwSstP,Grocery and Gourmet Food,0.0,2016-01-12 12:50:59,2016-01-12,12,,,
110,10273094,F24BuGfJronVRYNt,Home and Kitchen,1.0,2016-01-11 01:42:23,2016-01-11,1,,,
111,10273094,txm2FM18LrWYyNZK,Grocery and Gourmet Food,0.0,2016-01-05 19:48:35,2016-01-05,19,,,
112,10273094,vn9VkiTq64tBwx7F,Grocery and Gourmet Food,0.0,2016-01-04 16:29:06,2016-01-04,16,,2016-01-13,
113,10273094,x05Sa5t6vh0JTUCo,Home and Kitchen,0.0,2016-01-12 00:09:04,2016-01-12,0,,,
114,10285197,xrfg6wdmzGCpvM7Q,Baby,0.0,2016-01-10 00:56:20,2016-01-10,0,,,
115,10285197,PcYssdpdKRJQBZlp,Toys and Games,0.0,2016-01-10 10:40:24,2016-01-10,10,,,
116,10285197,xISh54k7zhQgVo72,Grocery and Gourmet Food,0.0,2016-01-10 14:55:51,2016-01-10,14,,,
117,10285197,FR4myiyJ5n5TWtAJ,Grocery and Gourmet Food,0.0,2016-01-13 16:57:58,2016-01-13,16,,,
118,10285197,a3oh6c34e8Y1ey3I,Toys and Games,0.0,2016-01-12 02:48:35,2016-01-12,2,,,
119,10285197,AKuXFAnY26KgVmB0,Baby,0.0,2016-01-02 09:33:01,2016-01-02,9,9.0,,2016-01-08 09:33:01
120,10285197,ittm5Ls0LQgCkX4A,"Patio, Lawn and Garden",0.0,2016-01-10 11:50:09,2016-01-10,11,,,
121,10285197,WC5DBj0ulvvXSjDa,Home and Kitchen,0.0,2016-01-04 13:29:21,2016-01-04,13,,,
122,10285197,q7HiI3GIJQbodvNQ,Toys and Games,0.0,2016-01-09 16:05:18,2016-01-09,16,,,
123,10285197,RtrgLyBZ0NYbuy3E,Home and Kitchen,0.0,2016-01-02 20:44:07,2016-01-02,20,,,
124,10285197,TRduLBdzng73inac,Toys and Games,1.0,2016-01-06 19:53:40,2016-01-06,19,19.0,,2016-01-07 19:23:15
125,10285197,STVMgBYeBENlnmCQ,Home and Kitchen,0.0,2016-01-10 06:08:29,2016-01-10,6,,,
126,10285197,lKNSgMRvnWtIvlG6,Grocery and Gourmet Food,0.0,2016-01-05 21:38:24,2016-01-05,21,,,
127,10285197,t2U6g23Ozb1FZ8Ru,Home and Kitchen,0.0,2016-01-15 01:40:58,2016-01-15,1,,2016-01-24,
128,10317211,WzELf8H4JgGuXi6R,Toys and Games,0.0,2016-01-08 12:27:31,2016-01-08,12,,,
129,10317211,7U3nDohhWiZNVFCe,Books,0.0,2016-01-13 16:12:50,2016-01-13,16,,,
130,10317211,m0fxHNMO5ua8xLGG,Home and Kitchen,0.0,2016-01-15 03:31:52,2016-01-15,3,,,
131,10317211,2YITA5kobVbfSHFn,Home and Kitchen,0.0,2016-01-05 18:48:14,2016-01-05,18,,,
132,10317211,BPDHPskQCdjbDhDa,Grocery and Gourmet Food,0.0,2016-01-11 19:56:32,2016-01-11,19,,,
133,10317211,8J7OinfeAVQ1pVJD,Toys and Games,0.0,2016-01-10 12:12:45,2016-01-10,12,,,
134,10317211,9ABSKDnEEP4wYOtR,Home and Kitchen,0.0,2016-01-10 13:48:26,2016-01-10,13,,,
135,10317211,7U3nDohhWiZNVFCe,Books,0.0,2016-01-02 07:12:45,2016-01-02,7,,,
136,10317211,Y30KMHqSDVMWfM7c,Baby,1.0,2016-01-05 14:37:47,2016-01-05,14,,,
137,10317211,3op4IPiW4GBFkVMc,Home and Kitchen,0.0,2016-01-06 00:09:11,2016-01-06,0,,,
138,10317211,xMFj20MlKR1bDaEM,"Clothing, Shoes and Jewelry",0.0,2016-01-10 06:38:33,2016-01-10,6,,,
139,10317211,uOkLc4uIyT0gVemK,"Clothing, Shoes and Jewelry",0.0,2016-01-12 23:19:18,2016-01-12,23,,,
140,10317211,LNfmLqokpPhV6zCx,Grocery and Gourmet Food,0.0,2016-01-12 09:24:48,2016-01-12,9,,,
141,10317211,sAqQ35tVAc8q0GhT,Toys and Games,1.0,2016-01-14 18:31:22,2016-01-14,18,3.0,,2016-01-15 03:31:28
142,10317211,BdbKwaiFDURvFxuh,Books,0.0,2016-01-06 05:23:39,2016-01-06,5,,2016-01-13,
143,10317211,hANbmkGLpv2nK099,Home and Kitchen,0.0,2016-01-04 12:53:21,2016-01-04,12,,,
144,10317211,gstWh21epHZ7ok9k,Home and Kitchen,0.0,2016-01-09 08:27:27,2016-01-09,8,,,
145,10317211,cYPyhHSYDEgjytlh,Toys and Games,1.0,2016-01-01 20:52:17,2016-01-01,20,22.0,,2016-01-05 22:48:35
146,10354191,Z7tHwDmC3js1dHB2,"Clothing, Shoes and Jewelry",0.0,2016-01-11 23:06:55,2016-01-11,23,,,
147,10354191,7ElOZmHUbdyCC8rB,Home and Kitchen,0.0,2016-01-06 23:05:39,2016-01-06,23,23.0,,2016-01-11 23:05:39
148,10354191,BTI2MXJrsmOZQMeu,Home and Kitchen,0.0,2016-01-12 05:13:34,2016-01-12,5,,,
149,10354191,EuI7rgbqzaHwnr7S,Home and Kitchen,0.0,2016-01-09 01:16:51,2016-01-09,1,,,
150,10354191,sfUHuw4n5ljBvwtd,Grocery and Gourmet Food,0.0,2016-01-11 18:16:03,2016-01-11,18,,,
151,10354191,tuiGydH1xfznjlfk,Home and Kitchen,0.0,2016-01-08 06:04:55,2016-01-08,6,,,
152,10354191,8hoJaxSn4XafuRNs,Grocery and Gourmet Food,1.0,2016-01-03 11:48:47,2016-01-03,11,,,
153,10354191,hY67uEMpu0hQs5VV,Home and Kitchen,0.0,2016-01-15 01:45:29,2016-01-15,1,,,
154,10354191,TYJ4GXefwl0dx3V4,Grocery and Gourmet Food,0.0,2016-01-06 09:09:05,2016-01-06,9,,,
155,10354191,dV9K3ENjXygyZlUq,Grocery and Gourmet Food,1.0,2016-01-12 13:13:00,2016-01-12,13,,,
156,10363576,fycFVVtXvpZidv5o,Electronics,0.0,2016-01-04 06:33:54,2016-01-04,6,,,
157,10363576,OcxrJqWkoyIbxx3D,Sports and Outdoors,0.0,2016-01-02 11:47:57,2016-01-02,11,,,
158,10363576,Asn1XXQM3dej5j7W,Grocery and Gourmet Food,1.0,2016-01-01 16:16:06,2016-01-01,16,,,
159,10363576,Zx1G687VQEulH2YH,Electronics,0.0,2016-01-14 11:48:08,2016-01-14,11,,,
160,10400298,kPJxeP3CnQUd9RYd,Grocery and Gourmet Food,0.0,2016-01-07 00:03:50,2016-01-07,0,,,
161,10400298,WabaSdLGReckbrZT,Grocery and Gourmet Food,0.0,2016-01-07 09:03:22,2016-01-07,9,,,
162,10400298,AzNMAaAWpC0tru2B,Grocery and Gourmet Food,1.0,2016-01-02 08:01:53,2016-01-02,8,,,
163,10400298,kfvKFKJmZpO2c3b3,Toys and Games,0.0,2016-01-13 15:46:32,2016-01-13,15,,,
164,10400298,zgIYIQc2XLtHuMD1,Toys and Games,1.0,2016-01-09 19:37:08,2016-01-09,19,20.0,,2016-01-09 20:10:03
165,10400298,xt0VFE5TL8kG43Ql,Toys and Games,0.0,2016-01-06 12:49:01,2016-01-06,12,,,
166,10400298,043HjY7R8OAzwZJH,Grocery and Gourmet Food,0.0,2016-01-06 04:33:19,2016-01-06,4,,,
167,10400298,FqH2lGeSWwESUHOt,Home and Kitchen,0.0,2016-01-04 06:17:44,2016-01-04,6,,,
168,10400298,zJ9JWVvuwtlpq7ff,Grocery and Gourmet Food,0.0,2016-01-02 06:07:06,2016-01-02,6,,,
169,10400298,UDbz3tVw9jGo4IWj,Toys and Games,0.0,2016-01-08 19:52:44,2016-01-08,19,,,
170,10400298,DsxQYvGBwkH8aNjA,Home and Kitchen,0.0,2016-01-08 09:00:17,2016-01-08,9,,,
171,10400298,QPStxI1esbT8WzMB,Sports and Outdoors,0.0,2016-01-03 20:32:51,2016-01-03,20,,,
172,10400298,7W2GHyLBgG754MSF,"Clothing, Shoes and Jewelry",0.0,2016-01-04 19:12:07,2016-01-04,19,,,
173,10400298,Ed8obqTAZ9GrrCoT,Toys and Games,0.0,2016-01-10 13:25:30,2016-01-10,13,,,
174,10400298,w1XRpGwX6AVs1EeQ,Home and Kitchen,0.0,2016-01-12 11:36:56,2016-01-12,11,,,
175,10400298,ySEZ2ufo4nQcgdmg,Home and Kitchen,0.0,2016-01-11 20:23:17,2016-01-11,20,,2016-01-21,
176,10401202,oRTu5uQ1EJ6cz0WX,Books,0.0,2016-01-09 13:21:15,2016-01-09,13,,,
177,10401202,4zLuMaD0rae87r1m,Toys and Games,0.0,2016-01-03 01:38:46,2016-01-03,1,,,
178,10401202,WXJbnEMY4Z6g00XD,Home and Kitchen,0.0,2016-01-13 21:27:49,2016-01-13,21,,,
179,10401202,WnDUXA1EAOc44boT,Home and Kitchen,0.0,2016-01-08 22:28:57,2016-01-08,22,,,
180,10401202,Icyj44Ip4IrCvqeE,Toys and Games,0.0,2016-01-03 14:24:37,2016-01-03,14,,,
181,10401202,9NOhuRvYRbwyX8Uc,Home and Kitchen,0.0,2016-01-12 19:43:11,2016-01-12,19,,,
182,10401202,4yMYUZZePlxcU5cq,Books,0.0,2016-01-06 23:11:11,2016-01-06,23,,,
183,10401202,n8lifOxZ2WSJXzWW,Toys and Games,0.0,2016-01-05 10:20:49,2016-01-05,10,,,
184,10401202,EDOLcVB7Sksm7tlY,Home and Kitchen,0.0,2016-01-06 15:43:19,2016-01-06,15,,,
185,10401202,e1gk7MeKjtFKljDz,Grocery and Gourmet Food,1.0,2016-01-14 06:26:31,2016-01-14,6,,,
186,10401202,XqENEBPMDDH2G3zW,Toys and Games,0.0,2016-01-08 15:54:30,2016-01-08,15,,,
187,10401202,GRJ6RpC6ZeLFYIui,Home and Kitchen,0.0,2016-01-12 23:10:45,2016-01-12,23,,,
188,10401202,HMrFoU61oT4OBCwV,"Clothing, Shoes and Jewelry",0.0,2016-01-08 12:30:25,2016-01-08,12,,,
189,10401202,InFSgOPnAjWFBhr0,Electronics,0.0,2016-01-08 08:52:58,2016-01-08,8,,,
190,10401202,1ZxRXrhnylmZrVml,Baby,0.0,2016-01-03 23:07:26,2016-01-03,23,,,
191,10401202,9AxraiVSM1vvBNf5,Baby,0.0,2016-01-14 22:46:39,2016-01-14,22,,,
192,10401202,noUbZoWrT1KXK3P6,Home and Kitchen,0.0,2016-01-07 17:22:08,2016-01-07,17,17.0,,2016-01-16 17:22:08
193,10401202,Ky0D19eyAmrykX8Z,Home and Kitchen,1.0,2016-01-05 11:23:28,2016-01-05,11,,,
194,10417849,1eKXyixsGBNjUyjD,Grocery and Gourmet Food,0.0,2016-01-05 20:55:46,2016-01-05,20,,,
195,10417849,mf7hCcxY59PCi0EW,Books,0.0,2016-01-14 08:06:37,2016-01-14,8,,,
196,10417849,srmk4dt3GCsmOCgu,Baby,0.0,2016-01-05 14:28:00,2016-01-05,14,,,
197,10417849,1YCsiivzUkLr6Brh,Grocery and Gourmet Food,1.0,2016-01-11 23:23:59,2016-01-11,23,,,
198,10417849,LUXcvWLUWEKHhQCp,Baby,1.0,2016-01-08 21:24:20,2016-01-08,21,,,
199,10417849,baFetQJ4mf3QD1O3,Toys and Games,0.0,2016-01-11 04:53:35,2016-01-11,4,,,
200,10417849,WLvBxhmxXFQMYsFj,Sports and Outdoors,0.0,2016-01-11 05:25:32,2016-01-11,5,,,
201,10417849,Jz9T64vgmGAvSSYV,Toys and Games,0.0,2016-01-07 04:35:42,2016-01-07,4,,,
202,10417849,E89ScyJIpK7zQIae,Sports and Outdoors,0.0,2016-01-05 15:04:07,2016-01-05,15,,,
203,10417849,1fpl8J0XU0mqZx8q,Grocery and Gourmet Food,0.0,2016-01-11 13:31:42,2016-01-11,13,,,
204,10417849,E7FDXdm66NawSeBU,Home and Kitchen,1.0,2016-01-05 17:23:09,2016-01-05,17,,,
205,10417849,tKYhNhDVCRvfWoSr,Home and Kitchen,1.0,2016-01-14 17:42:04,2016-01-14,17,,,
206,10417849,gEyvwwfBtkl6Ht6A,Baby,0.0,2016-01-09 13:51:14,2016-01-09,13,,,
207,10417849,oIGRDGsQV028biCG,Books,0.0,2016-01-07 11:39:49,2016-01-07,11,,,
208,10417849,DTxAu5JEHFWWHwpM,Home and Kitchen,0.0,2016-01-06 20:18:23,2016-01-06,20,,,
209,10422159,xjD3mOEL1HRnN2Op,Grocery and Gourmet Food,0.0,2016-01-05 04:13:41,2016-01-05,4,,2016-01-15,
210,10422159,15L3oogkbkPI8hXx,Home and Kitchen,0.0,2016-01-08 13:05:02,2016-01-08,13,,,
211,10422159,0tiypZh94DNswFHs,Electronics,0.0,2016-01-03 09:06:19,2016-01-03,9,9.0,,2016-01-10 09:06:19
212,10422159,BpGqBWBKaaYGfNGo,"Clothing, Shoes and Jewelry",0.0,2016-01-03 09:23:45,2016-01-03,9,,,
213,10422159,ErHtHKomIboiTTHi,Tools and Home Improvement,0.0,2016-01-07 08:54:54,2016-01-07,8,,2016-01-12,
214,10422159,VDuJjuenuqNsjrF5,Sports and Outdoors,0.0,2016-01-04 08:38:51,2016-01-04,8,,,
215,10422159,1eKXyixsGBNjUyjD,Grocery and Gourmet Food,1.0,2016-01-08 23:08:01,2016-01-08,23,,,
216,10422159,UMPLwYn22r3Ah7kG,Books,0.0,2016-01-01 19:41:23,2016-01-01,19,,,
217,10422159,QzJO8ZU22xbxiPzB,Electronics,0.0,2016-01-04 18:22:07,2016-01-04,18,18.0,,2016-01-10 18:22:07
218,10422159,7N7AJgn6qIt1noJM,Home and Kitchen,0.0,2016-01-11 09:55:50,2016-01-11,9,,,
219,10450601,UZvozGQgUTLmUYQc,Books,0.0,2016-01-11 03:57:27,2016-01-11,3,,2016-01-21,
220,10450601,m4jypr8njAynN282,Home and Kitchen,0.0,2016-01-02 22:18:09,2016-01-02,22,,,
221,10450601,INA4L90rl0VZMJ1w,Sports and Outdoors,0.0,2016-01-04 14:10:17,2016-01-04,14,14.0,,2016-01-12 14:10:17
